Location,Metric,CY20,CY21,CY22,CY23
CA-608 Riverside City & County CoC,M3,2533,2474,2800,3645
CA-609 San Bernardino City & County CoC,M3,3127,2448,2950,3010
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M3,676,504,668,598
CA-612 Glendale CoC,M3,120,136,180,254
CA-613 Imperial County CoC,M3,318,516,804,824
CA-614 San Luis Obispo County CoC,M3,495,498,493,757
Los Angeles County,M3,12788,12525,14646,14303
California,M4,138,153,149,146
CA-500 San Jose/Santa Clara City & County CoC,M4,116,125,130,141
CA-501 San Francisco CoC,M4,161,222,183,155
"CA-502 Oakland, Berkeley/Alameda County CoC",M4,185,167,143,145
CA-503 Sacramento City & County CoC,M4,170,175,150,123
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M4,141,165,162,169
CA-505 Richmond/Contra Costa County CoC,M4,101,118,125,113
"CA-506 Salinas/Monterey, San Benito Counties CoC",M4,146,144,166,154
CA-507 Marin County CoC,M4,159,117,137,134
CA-508 Watsonville/Santa Cruz City & County CoC,M4,153,197,190,151
CA-509 Mendocino County CoC,M4,112,140,175,207
"CA-510 Turlock, Modesto/Stanislaus County CoC",M4,96,99,102,123
CA-511 Stockton/San Joaquin County CoC,M4,67,81,67,77
CA-512 Daly City/San Mateo County CoC,M4,293,339,343,357
"CA-513 Visalia/Kings, Tulare Counties CoC",M4,82,125,123,108
CA-514 Fresno City & County/Madera County CoC,M4,70,105,124,122
"CA-515 Roseville, Rocklin/Placer County CoC",M4,262,266,276,178
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M4,128,127,141,182
CA-517 Napa City & County CoC,M4,82,130,133,180
CA-518 Vallejo/Solano County CoC,M4,84,112,136,116
"CA-519 Chico, Paradise/Butte County CoC",M4,154,148,124,117
CA-520 Merced City & County CoC,M4,103,158,202,202
"CA-521 Davis, Woodland/Yolo County CoC",M4,107,145,121,129
CA-522 Humboldt County CoC,M4,88,134,135,135
"CA-523 Colusa, Glenn, Trinity Counties CoC",M4,153,176,188,173
CA-524 Yuba City & County/Sutter County CoC,M4,53,96,111,105
CA-525 El Dorado County CoC,M4,65,79,104,119
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M4,117,121,120,151
CA-527 Tehama County CoC,M4,54,55,70,97
CA-529 Lake County CoC,M4,42,40,68,72
"CA-530 Alpine, Inyo, Mono Counties CoC",M4,35,67,116,177
CA-531 Nevada County CoC,M4,126,117,154,171
CA-600 Los Angeles City & County CoC,M4,159,178,184,175
CA-601 San Diego City & County CoC,M4,100,107,122,129
"CA-602 Santa Ana, Anaheim/Orange County CoC",M4,126,112,94,99
CA-603 Santa Maria/Santa Barbara County CoC,M4,114,118,125,127
CA-604 Bakersfield/Kern County CoC,M4,110,107,103,106
CA-606 Long Beach CoC,M4,121,110,122,90
CA-607 Pasadena CoC,M4,118,117,114,132
CA-608 Riverside City & County CoC,M4,95,100,92,88
CA-609 San Bernardino City & County CoC,M4,105,122,92,103
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M4,116,146,163,197
CA-612 Glendale CoC,M4,96,60,53,49
CA-613 Imperial County CoC,M4,133,175,187,173
CA-614 San Luis Obispo County CoC,M4,111,112,132,159
Los Angeles County,M4,159,177,183,172
California,M5,0.099,0.094,0.112,0.110
CA-500 San Jose/Santa Clara City & County CoC,M5,0.132,0.071,0.164,0.153
CA-501 San Francisco CoC,M5,0.141,0.095,0.123,0.145
"CA-502 Oakland, Berkeley/Alameda County CoC",M5,0.105,0.165,0.186,0.199
CA-503 Sacramento City & County CoC,M5,0.094,0.088,0.113,0.118
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M5,0.083,0.067,0.107,0.091
CA-505 Richmond/Contra Costa County CoC,M5,0.118,0.143,0.090,0.171
"CA-506 Salinas/Monterey, San Benito Counties CoC",M5,0.080,0.046,0.106,0.080
CA-507 Marin County CoC,M5,0.047,0.135,0.097,0.139
CA-508 Watsonville/Santa Cruz City & County CoC,M5,0.084,0.056,0.060,0.106
