CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-600,Los Angeles County CoC,55-64,7665
2017,CA-600,Los Angeles County CoC,65+,2372
2017,CA-600,Los Angeles County CoC,Invalid,27
2017,CA-600,Los Angeles County CoC,Under 18,12302
2017,CA-600,Los Angeles County CoC,Unknown,1183
2017,CA-601,San Diego County CoC,18-24,736
2017,CA-601,San Diego County CoC,25-34,1552
2017,CA-601,San Diego County CoC,35-44,1670
2017,CA-601,San Diego County CoC,45-54,2057
2017,CA-601,San Diego County CoC,55-64,2155
2017,CA-601,San Diego County CoC,65+,577
2017,CA-601,San Diego County CoC,Invalid,12
2017,CA-601,San Diego County CoC,Under 18,2808
2017,CA-601,San Diego County CoC,Unknown,23
2017,CA-602,Orange County CoC,18-24,578
2017,CA-602,Orange County CoC,25-34,1226
2017,CA-602,Orange County CoC,35-44,1181
2017,CA-602,Orange County CoC,45-54,1240
2017,CA-602,Orange County CoC,55-64,1076
2017,CA-602,Orange County CoC,65+,512
2017,CA-602,Orange County CoC,Invalid,13
2017,CA-602,Orange County CoC,Under 18,2820
2017,CA-602,Orange County CoC,Unknown,1823
2017,CA-603,Santa Barbara County CoC,18-24,185
2017,CA-603,Santa Barbara County CoC,25-34,514
2017,CA-603,Santa Barbara County CoC,35-44,461
2017,CA-603,Santa Barbara County CoC,45-54,508
2017,CA-603,Santa Barbara County CoC,55-64,478
2017,CA-603,Santa Barbara County CoC,65+,184
2017,CA-603,Santa Barbara County CoC,Invalid,*
2017,CA-603,Santa Barbara County CoC,Under 18,632
2017,CA-603,Santa Barbara County CoC,Unknown,*
2017,CA-604,Kern County CoC,18-24,289
2017,CA-604,Kern County CoC,25-34,521
2017,CA-604,Kern County CoC,35-44,453
2017,CA-604,Kern County CoC,45-54,477
2017,CA-604,Kern County CoC,55-64,334
2017,CA-604,Kern County CoC,65+,106
2017,CA-604,Kern County CoC,Under 18,1061
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,149
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,365
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,306
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,434
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,479
2017,CA-606,Long Beach CoC (Los Angeles County),65+,169
2017,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,751
2017,CA-607,Pasadena CoC (Los Angeles County),18-24,92
2017,CA-607,Pasadena CoC (Los Angeles County),25-34,162
2017,CA-607,Pasadena CoC (Los Angeles County),35-44,219
2017,CA-607,Pasadena CoC (Los Angeles County),45-54,231
2017,CA-607,Pasadena CoC (Los Angeles County),55-64,194
2017,CA-607,Pasadena CoC (Los Angeles County),65+,98
2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,296
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2017,CA-608,Riverside County CoC,18-24,674
2017,CA-608,Riverside County CoC,25-34,1057
2017,CA-608,Riverside County CoC,35-44,991
2017,CA-608,Riverside County CoC,45-54,1075
2017,CA-608,Riverside County CoC,55-64,844
2017,CA-608,Riverside County CoC,65+,265
2017,CA-608,Riverside County CoC,Under 18,1615
2017,CA-608,Riverside County CoC,Unknown,88
2017,CA-609,San Bernardino County CoC,18-24,614
2017,CA-609,San Bernardino County CoC,25-34,1198
2017,CA-609,San Bernardino County CoC,35-44,920
2017,CA-609,San Bernardino County CoC,45-54,697
2017,CA-609,San Bernardino County CoC,55-64,561
2017,CA-609,San Bernardino County CoC,65+,165
2017,CA-609,San Bernardino County CoC,Invalid,*
2017,CA-609,San Bernardino County CoC,Under 18,4131
2017,CA-611,Ventura County CoC,18-24,144
2017,CA-611,Ventura County CoC,25-34,309
2017,CA-611,Ventura County CoC,35-44,323
2017,CA-611,Ventura County CoC,45-54,351
2017,CA-611,Ventura County CoC,55-64,315
2017,CA-611,Ventura County CoC,65+,92
2017,CA-611,Ventura County CoC,Invalid,*
2017,CA-611,Ventura County CoC,Under 18,668
2017,CA-611,Ventura County CoC,Unknown,*
2017,CA-612,Glendale CoC (Los Angeles County),18-24,24
2017,CA-612,Glendale CoC (Los Angeles County),25-34,59
2017,CA-612,Glendale CoC (Los Angeles County),35-44,48
2017,CA-612,Glendale CoC (Los Angeles County),45-54,72
2017,CA-612,Glendale CoC (Los Angeles County),55-64,57
2017,CA-612,Glendale CoC (Los Angeles County),65+,27
2017,CA-612,Glendale CoC (Los Angeles County),Under 18,130
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,18-24,44
2017,CA-613,Imperial County CoC,25-34,89
2017,CA-613,Imperial County CoC,35-44,81
2017,CA-613,Imperial County CoC,45-54,82
2017,CA-613,Imperial County CoC,55-64,75
2017,CA-613,Imperial County CoC,65+,50
2017,CA-613,Imperial County CoC,Invalid,*
2017,CA-613,Imperial County CoC,Under 18,71
2017,CA-613,Imperial County CoC,Unknown,*
2017,CA-614,San Luis Obispo County CoC,18-24,139
2017,CA-614,San Luis Obispo County CoC,25-34,357
2017,CA-614,San Luis Obispo County CoC,35-44,267
2017,CA-614,San Luis Obispo County CoC,45-54,224
2017,CA-614,San Luis Obispo County CoC,55-64,205
2017,CA-614,San Luis Obispo County CoC,65+,80
2017,CA-614,San Luis Obispo County CoC,Invalid,*
2017,CA-614,San Luis Obispo County CoC,Under 18,595
2018,All,California,18-24,18731
2018,All,California,25-34,32570
2018,All,California,35-44,29524
2018,All,California,45-54,30307
2018,All,California,55-64,27689
2018,All,California,65+,9623
2018,All,California,Invalid,93
2018,All,California,Under 18,56025
2018,All,California,Unknown,6340
2018,CA-500,Santa Clara County CoC,18-24,809
2018,CA-500,Santa Clara County CoC,25-34,1488
2018,CA-500,Santa Clara County CoC,35-44,1444
2018,CA-500,Santa Clara County CoC,45-54,1574
2018,CA-500,Santa Clara County CoC,55-64,1536
2018,CA-500,Santa Clara County CoC,65+,522
2018,CA-500,Santa Clara County CoC,Under 18,2385
2018,CA-500,Santa Clara County CoC,Unknown,14
2018,CA-501,San Francisco CoC,18-24,703
2018,CA-501,San Francisco CoC,25-34,811
2018,CA-501,San Francisco CoC,35-44,737
2018,CA-501,San Francisco CoC,45-54,704
2018,CA-501,San Francisco CoC,55-64,597
2018,CA-501,San Francisco CoC,65+,223
2018,CA-501,San Francisco CoC,Invalid,*
2018,CA-501,San Francisco CoC,Under 18,1857
2018,CA-501,San Francisco CoC,Unknown,55
2018,CA-502,Alameda County CoC,18-24,754
2018,CA-502,Alameda County CoC,25-34,947
2018,CA-502,Alameda County CoC,35-44,814
2018,CA-502,Alameda County CoC,45-54,897
2018,CA-502,Alameda County CoC,55-64,944
2018,CA-502,Alameda County CoC,65+,381
2018,CA-502,Alameda County CoC,Invalid,*
2018,CA-502,Alameda County CoC,Under 18,1721
2018,CA-502,Alameda County CoC,Unknown,*
2018,CA-503,Sacramento County CoC,18-24,1165
2018,CA-503,Sacramento County CoC,25-34,1604
2018,CA-503,Sacramento County CoC,35-44,1540
2018,CA-503,Sacramento County CoC,45-54,1650
2018,CA-503,Sacramento County CoC,55-64,1342
2018,CA-503,Sacramento County CoC,65+,362
2018,CA-503,Sacramento County CoC,Under 18,3994
2018,CA-503,Sacramento County CoC,Unknown,*
2018,CA-504,Sonoma County CoC,18-24,263
2018,CA-504,Sonoma County CoC,25-34,420
2018,CA-504,Sonoma County CoC,35-44,449
2018,CA-504,Sonoma County CoC,45-54,458
2018,CA-504,Sonoma County CoC,55-64,449
2018,CA-504,Sonoma County CoC,65+,180
2018,CA-504,Sonoma County CoC,Under 18,703
